Student ID,Student Name,Majors,Professor ID,Professor Name,Departments
[Diplomacy & World Affairs   Economics   Sociology],Media Arts and Culture,randomly matched,
[English   Psychology],English,major and department matches directly,
[Undecided],Politics,randomly matched,
[Biology   Critical Theory & Social Justice   Psychology],Biology,major and department matches directly,
[Economics   Kinesiology   Mathematics],Economics,randomly matched,
[Theater],Theater,major and department matches directly,
[Critical Theory & Social Justice   Diplomacy & World Affairs   Media Arts & Culture],Spanish and French Studies,randomly matched,
[Critical Theory & Social Justice   Politics   Urban & Environmental Policy],History,randomly matched,
[English   Media Arts & Culture   Psychology],English,major and department matches directly,
[Economics],Economics,major and department matches directly,
[Undecided   Cognitive Science   Media Arts & Culture],Physics,randomly matched,
[History],History,major and department matches directly,
[Biology   Cognitive Science],History,major and department matches directly,
[Undecided   Diplomacy & World Affairs   Philosophy],English,randomly matched,
[Biology   Comparative Studies in Literature & Culture   Diplomacy & World Affairs],Geology,major and department are related,
[Kinesiology],Kinesiology,major and department matches directly,
[Biology   Diplomacy & World Affairs   Kinesiology],Biology,major and department matches directly,
[Kinesiology],Politics,randomly matched,
[Art & Art History   Biochemistry   French],Spanish and French Studies,randomly matched,
[Economics   Kinesiology   Psychology],Economics,randomly matched,
[Undecided   Biology   Politics],Sociology,randomly matched,
[Biochemistry   Kinesiology   Physics],Theater,randomly matched,
[Economics   Kinesiology   Mathematics],American Studies,randomly matched,
[Biochemistry   Biology],Religious Studies,randomly matched,
[Diplomacy & World Affairs   Economics   Urban & Environmental Policy],Comparative Studies/Lit & Cult,randomly matched,
[Chinese   Diplomacy & World Affairs   Group Language],History,randomly matched,
[Biology   Urban & Environmental Policy],Chemistry,major and department are related,
[French   Mathematics],Music,randomly matched,
[Japanese   Sociology   Theater],Diplomacy and World Affairs,randomly matched,
[Undecided   Diplomacy & World Affairs   Urban & Environmental Policy],Mathematics,randomly matched,
[Undecided   Psychology   Sociology],Kinesiology,randomly matched,
[Diplomacy & World Affairs   Spanish],English,randomly matched,
[Biology   Cognitive Science   Psychology],Biology,major and department matches directly,
[Critical Theory & Social Justice   Economics   Politics],Religious Studies,randomly matched,
[Biochemistry   Mathematics   Media Arts & Culture],Theater,major and department are related,
[Psychology],Psychology,major and department matches directly,
[Art & Art History   Biology   Japanese],Politics,randomly matched,
[Art & Art History   Critical Theory & Social Justice   Sociology],English,randomly matched,
[Cognitive Science   Geology   Psychology],Cognitive Science,major and department matches directly,
[Cognitive Science   Psychology   Sociology],Comparative Studies/Lit & Cult,randomly matched,
[Undecided   Biology   Chemistry],Philosophy,randomly matched,
[Biochemistry   Kinesiology],Chemistry,randomly matched,
[Diplomacy & World Affairs   Group Language   Theater],Philosophy,randomly matched,
[Comparative Studies in Literature & Culture   Politics   Spanish],Diplomacy and World Affairs,randomly matched,
[Diplomacy & World Affairs   Economics   Music],Theater,randomly matched,
[Psychology],Psychology,randomly matched,
[Biology   Geology   Urban & Environmental Policy],Biology,major and department matches directly,
[Economics   Philosophy   Politics],Economics,major and department matches directly,
[Kinesiology   Psychology],Mathematics,randomly matched,
[Biology   Diplomacy & World Affairs   Media Arts & Culture],Critical Theory/Social Justice,major and department matches directly,
[Psychology],Psychology,major and department matches directly,
[Biochemistry   Biology   Chemistry],Biology,randomly matched,
[Critical Theory & Social Justice   Diplomacy & World Affairs   Urban & Environmental Policy],History,randomly matched,
[Diplomacy & World Affairs   English   Politics],Computer Science,randomly matched,
[Biology   Kinesiology   Psychology],Biology,randomly matched,
[Art & Art History   Media Arts & Culture],Media Arts and Culture,randomly matched,
[Chemistry   Mathematics],Chemistry,major and department are related,
[History   Mathematics   Sociology],History,major and department matches directly,
[Diplomacy & World Affairs   East Asian Studies   Politics],Philosophy,randomly matched,
[Biology   History   Psychology],Biology,major and department matches directly,
[East Asian Studies   Japanese   Mathematics],Urban/Environmental Policy,randomly matched,
[Diplomacy & World Affairs   Politics   Urban & Environmental Policy],Urban/Environmental Policy,randomly matched,
[Mathematics   Physics   Spanish],Mathematics,major and department matches directly,
[Economics   Kinesiology],Economics,major and department matches directly,
[Media Arts & Culture   Theater],Critical Theory/Social Justice,randomly matched,
[Undecided   Biology],Art and Art History,randomly matched,
[Geology   Physics   Urban & Environmental Policy],Geology,randomly matched,
[Mathematics   Music],Mathematics,major and department matches directly,
[Economics   Mathematics   Physics],Economics,major and department matches directly,
[Media Arts & Culture],Media Arts and Culture,randomly matched,
[Psychology],Psychology,major and department matches directly,
[Diplomacy & World Affairs   Urban & Environmental Policy],Diplomacy and World Affairs,randomly matched,
[Diplomacy & World Affairs   Politics],Politics,randomly matched,
[Biology   Religious Studies   Theater],Biology,randomly matched,
[Undecided],Music,randomly matched,
[Biochemistry   Biology   Chemistry],English,major and department are related,
[Art & Art History   Critical Theory & Social Justice   Media Arts & Culture],Critical Theory/Social Justice,randomly matched,
[Undecided   Media Arts & Culture   Psychology],Mathematics,randomly matched,
[Cognitive Science   Diplomacy & World Affairs   Politics],Politics,randomly matched,
[Critical Theory & Social Justice   Psychology   Sociology],Spanish and French Studies,randomly matched,
[Critical Theory & Social Justice   Diplomacy & World Affairs   Psychology],Critical Theory/Social Justice,randomly matched,
[Biology   Cognitive Science   Psychology],Art and Art History,randomly matched,
[Cognitive Science   Media Arts & Culture   Psychology],Comparative Studies/Lit & Cult,randomly matched,
[Diplomacy & World Affairs   Politics   Spanish],Art and Art History,randomly matched,
[Comparative Studies in Literature & Culture   English   Politics],Psychology,randomly matched,
[Cognitive Science   Kinesiology],Cognitive Science,major and department matches directly,
[Chemistry   Physics   Spanish],Geology,major and department matches directly,
[English   Theater],English,major and department matches directly,
[Kinesiology],Geology,randomly matched,
[Biology   Diplomacy & World Affairs],Geology,major and department are related,
[Chemistry   Music],Philosophy,major and department are related,
[Art & Art History   Japanese   Media Arts & Culture],Philosophy,randomly matched,
[Economics   Kinesiology],Philosophy,randomly matched,
[Economics],Economics,randomly matched,
[Critical Theory & Social Justice   Diplomacy & World Affairs   Urban & Environmental Policy],Chemistry,randomly matched,
[Japanese   Mathematics   Psychology],English,randomly matched,
[Undecided   Media Arts & Culture   Urban & Environmental Policy],Chemistry,randomly matched,
[Politics   Spanish   Urban & Environmental Policy],Politics,major and department matches directly,
[Economics   History   Politics],Economics,major and department matches directly,
[Biology   Chemistry   Cognitive Science],Physics,major and department matches directly,
[Critical Theory & Social Justice   Physics   Urban & Environmental Policy],Politics,randomly matched,
[Biochemistry   Biology   Chemistry],Diplomacy and World Affairs,major and department are related,
[Undecided],Politics,randomly matched,
[Biology   Cognitive Science   Psychology],Biology,major and department are related,
[Economics   Media Arts & Culture   Politics],Spanish and French Studies,major and department matches directly,
[Economics   History],Spanish and French Studies,major and department matches directly,
[Kinesiology   Mathematics   Physics],Art and Art History,major and department matches directly,
[Art & Art History   Economics],Diplomacy and World Affairs,randomly matched,
[Economics],Spanish and French Studies,major and department matches directly,
[Critical Theory & Social Justice   Latino/a and Latin American Studies   Politics],Mathematics,randomly matched,
[Biology   Psychology   Theater],Biology,major and department matches directly,
[Cognitive Science   Comparative Studies in Literature & Culture   Religious Studies],Sociology,randomly matched,
[Biology   Diplomacy & World Affairs   English],Biology,major and department matches directly,
[Biochemistry],Mathematics,randomly matched,
[Biology   Politics   Psychology],Biology,randomly matched,
[Art & Art History   Japanese   Psychology],Sociology,randomly matched,
[Biology],Biology,randomly matched,
[Politics   Psychology],Politics,randomly matched,
[Undecided   Critical Theory & Social Justice   English],Religious Studies,randomly matched,
[Diplomacy & World Affairs   Economics   Politics],Psychology,randomly matched,
[Undecided   History   Physics],Chemistry,randomly matched,
[Media Arts & Culture   Psychology   Sociology],Chemistry,randomly matched,
[Spanish   Urban & Environmental Policy],English,randomly matched,
[Critical Theory & Social Justice   Psychology   Urban & Environmental Policy],Physics,randomly matched,
[Mathematics   Physics   Politics],Mathematics,major and department matches directly,
[Biochemistry   Diplomacy & World Affairs   Theater],Art and Art History,major and department are related,
[Art & Art History   Economics   Psychology],English,randomly matched,
[American Studies   Art & Art History   Critical Theory & Social Justice],American Studies,major and department matches directly,
[English   Media Arts & Culture],Urban/Environmental Policy,major and department matches directly,
[Cognitive Science   Theater],Philosophy,randomly matched,
[Cognitive Science   Politics   Psychology],Sociology,randomly matched,
[English   French],English,major and department matches directly,
[Biochemistry   Biology],Politics,major and department are related,
[Undecided   Diplomacy & World Affairs   Politics],Mathematics,randomly matched,
[Economics   English   Psychology],Economics,major and department matches directly,
[Economics   Media Arts & Culture   Theater],Economics,major and department matches directly,
[Cognitive Science   Media Arts & Culture   Psychology],Cognitive Science,major and department matches directly,
[Critical Theory & Social Justice   English   Spanish],Physics,randomly matched,
[English   Psychology],English,major and department matches directly,
[Biology   Kinesiology   Psychology],Biology,major and department matches directly,
[Diplomacy & World Affairs   Economics],American Studies,randomly matched,
[Kinesiology   Media Arts & Culture   Psychology],Critical Theory/Social Justice,major and department matches directly,
[Politics],Diplomacy and World Affairs,major and department matches directly,
[Mathematics   Politics],Mathematics,randomly matched,
[Biochemistry   Biology   Physics],English,major and department are related,
[Diplomacy & World Affairs   Geology   Spanish],Computer Science,randomly matched,
[Economics   Mathematics],Urban/Environmental Policy,major and department matches directly,
[Mathematics   Physics],Mathematics,major and department matches directly,
[Kinesiology],Kinesiology,randomly matched,
[Comparative Studies in Literature & Culture   Critical Theory & Social Justice   Theater],Chemistry,randomly matched,
[Urban & Environmental Policy],Mathematics,randomly matched,
[History   Sociology   Spanish],History,major and department matches directly,
[Biology],Geology,major and department are related,
[Diplomacy & World Affairs   Politics   Urban & Environmental Policy],Urban/Environmental Policy,randomly matched,
[Diplomacy & World Affairs   Politics   Urban & Environmental Policy],Diplomacy and World Affairs,randomly matched,
[Biology],Art and Art History,randomly matched,
[Diplomacy & World Affairs   History],Mathematics,randomly matched,
[Undecided   Economics   Politics],Physics,randomly matched,
[Cognitive Science   Psychology   Spanish],Media Arts and Culture,randomly matched,
[Art & Art History   French   Media Arts & Culture],English,randomly matched,
[Cognitive Science   Philosophy   Psychology],Cognitive Science,major and department matches directly,
[Group Language   Japanese   Mathematics],Spanish and French Studies,randomly matched,
[Diplomacy & World Affairs   Group Language   Politics],Sociology,randomly matched,
[Music   Philosophy   Psychology],Music,major and department matches directly,
[Undecided   Mathematics   Media Arts & Culture],Diplomacy and World Affairs,randomly matched,
[Biology],Biology,major and department are related,
[Diplomacy & World Affairs   Economics   Mathematics],Critical Theory/Social Justice,randomly matched,
[Undecided   Latino/a and Latin American Studies   Spanish],Politics,randomly matched,
[Economics],Critical Theory/Social Justice,major and department matches directly,
[Critical Theory & Social Justice   Politics   Sociology],Music,randomly matched,
[Undecided   Biology   Politics],Urban/Environmental Policy,randomly matched,
[Comparative Studies in Literature & Culture   Diplomacy & World Affairs   Media Arts & Culture],East Asian Languages/Cultures,randomly matched,
[Psychology   Sociology],Psychology,major and department matches directly,
[Media Arts & Culture],Psychology,randomly matched,
[Economics],Economics,randomly matched,
[Critical Theory & Social Justice   Politics   Psychology],Diplomacy and World Affairs,randomly matched,
[Art & Art History   English   Psychology],Education,randomly matched,
[Critical Theory & Social Justice   Diplomacy & World Affairs   Economics],Diplomacy and World Affairs,randomly matched,
[Kinesiology],Kinesiology,randomly matched,
[Undecided   Diplomacy & World Affairs   Economics],English,randomly matched,
[Media Arts & Culture],Comparative Studies/Lit & Cult,randomly matched,
[Biology],Biology,major and department matches directly,
[English   Philosophy],English,major and department matches directly,
[Critical Theory & Social Justice   English   Politics],Geology,randomly matched,
[East Asian Studies   Sociology   Spanish],Diplomacy and World Affairs,randomly matched,
[Undecided   Biology   Cognitive Science],Media Arts and Culture,randomly matched,
[Latino/a and Latin American Studies],Art and Art History,randomly matched,
[Diplomacy & World Affairs   History   Politics],Spanish and French Studies,randomly matched,
[Biology   Diplomacy & World Affairs   Kinesiology],Biology,randomly matched,
[Biology   Psychology   Sociology],Biology,major and department matches directly,
[Media Arts & Culture   Music],Urban/Environmental Policy,randomly matched,
[Philosophy],Philosophy,randomly matched,
[Biochemistry   Biology   Chemistry],Chemistry,randomly matched,
[Undecided   Physics   Politics],Sociology,randomly matched,
[Economics],Economics,randomly matched,
[Diplomacy & World Affairs   French   Group Language],Spanish and French Studies,randomly matched,
[Biology   Chemistry   Psychology],Chemistry,randomly matched,
[Biology   Psychology],Biology,major and department are related,
[Diplomacy & World Affairs   Economics],Critical Theory/Social Justice,randomly matched,
[Computer Science],Computer Science,randomly matched,
[Critical Theory & Social Justice   Politics],Diplomacy and World Affairs,randomly matched,
[English   Politics   Urban & Environmental Policy],English,major and department matches directly,
[Critical Theory & Social Justice   Economics   Psychology],Comparative Studies/Lit & Cult,randomly matched,
[Biochemistry   Biology   Kinesiology],Chemistry,randomly matched,
[Economics   Spanish],Economics,randomly matched,
[English   Media Arts & Culture],English,major and department matches directly,
[Biology   Kinesiology   Mathematics],Comparative Studies/Lit & Cult,randomly matched,
[Diplomacy & World Affairs   Philosophy   Politics],Geology,randomly matched,
[Diplomacy & World Affairs],East Asian Languages/Cultures,randomly matched,
[Undecided],Diplomacy and World Affairs,randomly matched,
[Art & Art History   Economics],East Asian Languages/Cultures,randomly matched,
[Chemistry   Kinesiology   Physics],Chemistry,major and department matches directly,
[Cognitive Science   Economics   Psychology],Mathematics,randomly matched,
[English],English,major and department matches directly,
[Cognitive Science   Kinesiology   Psychology],Religious Studies,randomly matched,
[Biology   Psychology],Biology,major and department matches directly,
[Diplomacy & World Affairs   Economics   Urban & Environmental Policy],Critical Theory/Social Justice,randomly matched,
[Diplomacy & World Affairs   Economics],Theater,randomly matched,
[Diplomacy & World Affairs   Economics   Politics],Philosophy,randomly matched,
[Cognitive Science   Diplomacy & World Affairs],Mathematics,randomly matched,
[Chemistry   Cognitive Science   Psychology],Chemistry,major and department matches directly,
[Comparative Studies in Literature & Culture   East Asian Studies   English],Politics,randomly matched,
[Economics   Politics],Economics,major and department matches directly,
[Chemistry   Economics   Kinesiology],Chemistry,major and department matches directly,
[Biology   Diplomacy & World Affairs   Economics],Biology,major and department are related,
[Critical Theory & Social Justice   Media Arts & Culture   Urban & Environmental Policy],Spanish and French Studies,randomly matched,
[Biology   Economics],Biology,randomly matched,
[Diplomacy & World Affairs   Japanese   Politics],Physics,randomly matched,
[Diplomacy & World Affairs   Politics   Sociology],Diplomacy and World Affairs,randomly matched,
[Urban & Environmental Policy],Physics,randomly matched,
[Economics   Media Arts & Culture   Psychology],Economics,major and department matches directly,
[Economics   History   Urban & Environmental Policy],Economics,major and department matches directly,
[Economics   Media Arts & Culture   Urban & Environmental Policy],Economics,major and department matches directly,
[Critical Theory & Social Justice   Politics   Sociology],Physics,randomly matched,
[Critical Theory & Social Justice],Geology,randomly matched,
[Cognitive Science   Critical Theory & Social Justice   Psychology],Politics,randomly matched,
[American Studies   Critical Theory & Social Justice   History],American Studies,major and department matches directly,
[Undecided],East Asian Languages/Cultures,randomly matched,
[Diplomacy & World Affairs   Psychology   Sociology],History,randomly matched,
[Chinese   Diplomacy & World Affairs   Media Arts & Culture],Politics,randomly matched,
[Art & Art History   Critical Theory & Social Justice   Philosophy],Urban/Environmental Policy,randomly matched,
[Biochemistry],Chemistry,randomly matched,
[Media Arts & Culture   Philosophy   Physics],Religious Studies,randomly matched,
[Undecided   East Asian Studies   Media Arts & Culture],Politics,randomly matched,
[Economics   Philosophy   Urban & Environmental Policy],Music,major and department matches directly,
[Chemistry   Latino/a and Latin American Studies   Psychology],Chemistry,major and department are related,
[Art & Art History   Biology   Politics],Diplomacy and World Affairs,randomly matched,
[History   Philosophy   Urban & Environmental Policy],History,major and department matches directly,
[Biochemistry   Biology   Chemistry],Kinesiology,major and department are related,
[Biology   Geology   Urban & Environmental Policy],Geology,major and department matches directly,
[Diplomacy & World Affairs   Theater],Psychology,randomly matched,
[History   Latino/a and Latin American Studies   Politics],History,major and department matches directly,
[Diplomacy & World Affairs   Spanish],Mathematics,randomly matched,
[English   Politics],English,randomly matched,
[Undecided   Biology   Sociology],American Studies,randomly matched,
[Group Language   Media Arts & Culture   Theater],Music,randomly matched,
[Critical Theory & Social Justice   Spanish   Urban & Environmental Policy],Spanish and French Studies,randomly matched,
[Critical Theory & Social Justice   Sociology   Urban & Environmental Policy],Kinesiology,randomly matched,
[Cognitive Science   Economics   Kinesiology],Sociology,randomly matched,
[Economics   Mathematics],Critical Theory/Social Justice,randomly matched,
[Critical Theory & Social Justice   Spanish   Urban & Environmental Policy],Music,randomly matched,
[Biochemistry   Biology   Chemistry],Chemistry,randomly matched,
[Art & Art History   Cognitive Science   Kinesiology],History,randomly matched,
[Media Arts & Culture   Politics   Urban & Environmental Policy],Diplomacy and World Affairs,randomly matched,
[Diplomacy & World Affairs   Latino/a and Latin American Studies   Politics],Religious Studies,randomly matched,
[Mathematics],Mathematics,major and department matches directly,
[Media Arts & Culture   Music   Psychology],History,randomly matched,
[Diplomacy & World Affairs   Politics   Sociology],Religious Studies,randomly matched,
[Biochemistry   Biology   Urban & Environmental Policy],Geology,randomly matched,
[Politics   Urban & Environmental Policy],Politics,major and department matches directly,
[Undecided],Physics,randomly matched,
[Biology   Cognitive Science   Psychology],Biology,major and department matches directly,
[Biochemistry],East Asian Languages/Cultures,randomly matched,
[Biology   Diplomacy & World Affairs   Urban & Environmental Policy],Comparative Studies/Lit & Cult,major and department are related,
[Comparative Studies in Literature & Culture   Critical Theory & Social Justice   English],Diplomacy and World Affairs,randomly matched,
[Comparative Studies in Literature & Culture   English   Theater],Art and Art History,randomly matched,
[Diplomacy & World Affairs   Economics   Spanish],Education,randomly matched,
[Undecided],Sociology,randomly matched,
[Biochemistry   Biology   Chemistry],American Studies,major and department are related,
[Undecided   Diplomacy & World Affairs   English],Art and Art History,randomly matched,
[Physics],Physics,major and department matches directly,
[Music],Music,randomly matched,
[Economics   Politics],Economics,randomly matched,
[Comparative Studies in Literature & Culture   Diplomacy & World Affairs   English],Spanish and French Studies,randomly matched,
[Biology   English   Urban & Environmental Policy],Biology,major and department are related,
[Biochemistry   Kinesiology   Mathematics],Writing and Rhetoric,randomly matched,
[Geology   Physics],Theater,major and department matches directly,
[Biology   English   Psychology],Biology,randomly matched,
[Art & Art History   Diplomacy & World Affairs   Politics],Music,randomly matched,
[Biology],Biology,major and department matches directly,
[Diplomacy & World Affairs   Politics],Art and Art History,randomly matched,
[Kinesiology   Psychology],Kinesiology,randomly matched,
[Economics],Economics,major and department matches directly,
[Biochemistry   Biology   Diplomacy & World Affairs],Spanish and French Studies,randomly matched,
[Biology   Cognitive Science   Diplomacy & World Affairs],Philosophy,major and department matches directly,
[Mathematics],Mathematics,major and department matches directly,
[Critical Theory & Social Justice   Sociology   Urban & Environmental Policy],English,randomly matched,
[Art & Art History   Chemistry],Biology,randomly matched,
[Politics   Theater],Politics,major and department matches directly,
[Biology   Diplomacy & World Affairs   Politics],Biology,major and department matches directly,
[Cognitive Science   Critical Theory & Social Justice   Psychology],Spanish and French Studies,randomly matched,
[Undecided   Biochemistry   Biology],Media Arts and Culture,randomly matched,
[Undecided],Urban/Environmental Policy,randomly matched,
[Cognitive Science   Media Arts & Culture   Sociology],Politics,randomly matched,
[English   Media Arts & Culture   Psychology],English,major and department matches directly,
[History   Urban & Environmental Policy],History,major and department matches directly,
[Kinesiology   Media Arts & Culture],Kinesiology,randomly matched,
[Undecided   Art & Art History   Media Arts & Culture],Spanish and French Studies,randomly matched,
[French   Kinesiology],Physics,randomly matched,
[Biochemistry   Biology   Kinesiology],Kinesiology,randomly matched,
[Cognitive Science   Kinesiology   Psychology],Mathematics,randomly matched,
[Economics   Politics],Economics,major and department matches directly,
[Economics   Mathematics],Economics,major and department matches directly,
[Biochemistry   Biology   Mathematics],Education,randomly matched,
[Theater],Art and Art History,major and department matches directly,
[Critical Theory & Social Justice   Media Arts & Culture   Politics],Diplomacy and World Affairs,randomly matched,
[Psychology   Sociology   Urban & Environmental Policy],Psychology,randomly matched,
[Undecided],Mathematics,randomly matched,
[Cognitive Science],East Asian Languages/Cultures,major and department matches directly,
[Economics],Economics,randomly matched,
[Economics   Mathematics],Economics,randomly matched,
[Economics   Kinesiology   Psychology],Economics,major and department matches directly,
[Diplomacy & World Affairs   Spanish   Urban & Environmental Policy],Sociology,randomly matched,
[Biology   Kinesiology],Geology,major and department matches directly,
[Biology   Economics   Mathematics],Critical Theory/Social Justice,randomly matched,
[History   Latino/a and Latin American Studies   Spanish],History,randomly matched,
[Biochemistry   Chemistry   Psychology],Kinesiology,randomly matched,
[Diplomacy & World Affairs   English   Media Arts & Culture],Art and Art History,randomly matched,
[Biology   English   Psychology],Biology,major and department are related,
[Chinese   Comparative Studies in Literature & Culture   Group Language],Economics,randomly matched,
[Economics],Economics,major and department matches directly,
[Biology   Kinesiology   Music],Spanish and French Studies,randomly matched,
[Biology],Biology,major and department matches directly,
[Cognitive Science   Psychology   Sociology],Spanish and French Studies,randomly matched,
[Art & Art History   Critical Theory & Social Justice   Spanish],Chemistry,randomly matched,
[Critical Theory & Social Justice   Economics   Sociology],History,randomly matched,
[Biology   Psychology   Urban & Environmental Policy],Biology,major and department matches directly,
[Diplomacy & World Affairs   Politics   Russian],Theater,randomly matched,
[Diplomacy & World Affairs   Politics   Spanish],English,randomly matched,
[Critical Theory & Social Justice   Economics   Sociology],American Studies,randomly matched,
[Diplomacy & World Affairs   Japanese   Politics],Spanish and French Studies,randomly matched,
[Undecided   Economics],Art and Art History,randomly matched,
[Diplomacy & World Affairs   French   Media Arts & Culture],Politics,randomly matched,
[Biochemistry   Biology   Chemistry],English,randomly matched,
[Critical Theory & Social Justice   Diplomacy & World Affairs   Politics],Sociology,randomly matched,
[Media Arts & Culture],Art and Art History,randomly matched,
[Biology   English   Sociology],Biology,major and department matches directly,
[Urban & Environmental Policy],History,randomly matched,
[Mathematics],Mathematics,major and department matches directly,
[Undecided   Diplomacy & World Affairs   Psychology],Spanish and French Studies,randomly matched,
[Politics   Psychology],Politics,major and department matches directly,
[English   Music],English,major and department matches directly,
[Biology],Biology,major and department matches directly,
[Psychology],Psychology,major and department matches directly,
[Philosophy   Politics   Psychology],Philosophy,randomly matched,
